::ffff:222.186.19.205 - - [06/Jul/2022:01:00:02 +0000] "GET http://pv.sohu.com/cityjson HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/3.0.195.1 Safari/532.0"
::ffff:47.15.10.147 - - [06/Jul/2022:08:51:46 +0000] "GET / HTTP/1.1" 200 251583 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
::ffff:167.94.138.45 - - [06/Jul/2022:09:59:52 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.138.45 - - [06/Jul/2022:09:59:52 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.45 - - [06/Jul/2022:09:59:52 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.45 - - [06/Jul/2022:09:59:52 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.45 - - [06/Jul/2022:09:59:52 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:192.241.206.96 - - [06/Jul/2022:10:45:49 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:162.142.125.213 - - [06/Jul/2022:14:55:24 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.213 - - [06/Jul/2022:14:55:24 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.213 - - [06/Jul/2022:14:55:24 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.213 - - [06/Jul/2022:14:55:24 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.213 - - [06/Jul/2022:14:55:24 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.211 - - [06/Jul/2022:17:01:17 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.211 - - [06/Jul/2022:17:01:17 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.211 - - [06/Jul/2022:17:01:18 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.211 - - [06/Jul/2022:17:01:18 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.211 - - [06/Jul/2022:17:01:18 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:180.149.125.167 - - [06/Jul/2022:17:59:13 +0000] "GET /c/ HTTP/1.1" 404 141 "-" "Mozilla/5.0 (Windows NT 5.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
::ffff:92.118.160.49 - - [06/Jul/2022:20:59:28 +0000] "GET / HTTP/1.1" 302 35 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:92.118.160.49 - - [06/Jul/2022:20:59:28 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:89.248.167.131 - - [06/Jul/2022:22:49:29 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:89.248.167.131 - - [06/Jul/2022:22:49:29 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:89.248.167.131 - - [06/Jul/2022:22:49:29 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:35.195.93.98 - - [06/Jul/2022:22:49:33 +0000] "GET / HTTP/1.1" 302 35 "-" "python-requests/2.28.0"
