::ffff:184.105.247.254 - - [26/Mar/2022:00:04:03 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:201.211.184.16 - admin [26/Mar/2022:11:53:26 +0000] "POST /editBlackAndWhiteList HTTP/1.1" 404 161 "-" "Mozila/5.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:01 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:01 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "HEAD / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "HEAD / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /Portal0000.htm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /hY2i HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /nmaplowercheck1648296722 HTTP/1.1" 404 163 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "POST /sdk HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "POST /sdk HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /base.html HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /nmaplowercheck1648296722 HTTP/1.1" 404 163 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /.git/HEAD HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:02 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 157 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "HEAD /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "HEAD /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /__Additional HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /pools/default/buckets HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /pools/default/buckets HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET http://www.google.com HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /menu.aspx HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /2ofU HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /HNAP1 HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "HEAD http://www.google.com HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /pools HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /pools HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 157 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /CSS/Miniweb.css HTTP/1.1" 404 154 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /CSS/Miniweb.css HTTP/1.1" 404 154 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /HNAP1 HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /.git/HEAD HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /index.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /base.html HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /Portal0000.htm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:03 +0000] "GET http://www.wikipedia.org HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /base.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "HEAD http://www.wikipedia.org HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /__Additional HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /menu.aspx HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /inicio.jhtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET http://www.computerhistory.org HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /readme.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /index.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:04 +0000] "GET /admin.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /base.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /base.inc HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /inicio.jhtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /admin.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /readme.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /localstart.php HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /admin.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:05 +0000] "GET /menu.html HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /base.inc HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /admin.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /admin.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /admin.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /localstart.php HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /index.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /menu.html HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:06 +0000] "GET /admin.jhtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /admin.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /start.cgi HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /admin.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /admin.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /index.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /admin.cgi HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:07 +0000] "GET /admin.jhtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /start.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /start.cgi HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /home.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /admin.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /base.jsa HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /admin.cgi HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /indice.cgi HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:08 +0000] "GET /start.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /home.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /localstart.jsp HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /admin.asp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /base.jsa HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /indice.cgi HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /inicio.cgi HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /localstart.jsp HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /menu.asp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:09 +0000] "GET /start.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /admin.asp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /main.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /inicio.cgi HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /indice.html HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /menu.asp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /localstart.jsa HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /start.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:10 +0000] "GET /indice.jhtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /main.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /default.shtml HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /indice.html HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /localstart.pl HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /localstart.jsa HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /inicio.php HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:11 +0000] "GET /indice.jhtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET /indice.pl HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET /default.shtml HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:45.33.101.246 - - [26/Mar/2022:12:12:12 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:80.82.77.33 - - [26/Mar/2022:17:21:33 +0000] "GET / HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:80.82.77.33 - - [26/Mar/2022:17:21:33 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
::ffff:80.82.77.33 - - [26/Mar/2022:17:21:34 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0"
::ffff:35.233.62.116 - - [26/Mar/2022:17:23:07 +0000] "GET / HTTP/1.1" 302 35 "-" "python-requests/2.27.1"
::ffff:92.118.160.49 - - [26/Mar/2022:18:59:21 +0000] "GET / HTTP/1.1" 302 35 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:92.118.160.49 - - [26/Mar/2022:18:59:21 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:5000/" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:223.71.167.166 - - [26/Mar/2022:19:33:46 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:223.71.167.166 - - [26/Mar/2022:19:33:47 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:139.59.112.118 - - [26/Mar/2022:21:23:39 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "python-requests/2.27.1"
::ffff:206.189.46.40 - - [26/Mar/2022:22:53:32 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "python-requests/2.27.1"
