::ffff:179.43.154.137 - - [01/Jun/2022:00:15:44 +0000] "GET / HTTP/1.1" 302 35 "-" "Hello World"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:00 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:00 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:00 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:00 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:01 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:01 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:03 +0000] "GET /users/findFriends HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:15 +0000] "GET / HTTP/1.1" 200 244454 "android-app://com.linkedin.android/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:22 +0000] "GET /likes/toggle/?likeableId=6235b3054e092f5d7899ca8a&type=Post&reaction=sad HTTP/1.1" 200 110 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:25 +0000] "GET /likes/toggle/?likeableId=6235b3054e092f5d7899ca8a&type=Post&reaction=unlike HTTP/1.1" 200 110 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:26 +0000] "GET /likes/toggle/?likeableId=6235b3054e092f5d7899ca8a&type=Post&reaction=unlike HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:28 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:28 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:28 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:32 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=sad HTTP/1.1" 200 110 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:33 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=sad HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:33 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=sad HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/reqAccepted/null HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:36 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:37 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:37 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:37 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:38 +0000] "GET /users/delete-notifs/622e5afbedb5900a4dea10d4/post_liked/62557a734e092f5d789a5f98 HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:43 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=unlike HTTP/1.1" 200 110 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:44 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=unlike HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:44 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=unlike HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:20:44 +0000] "GET /likes/toggle/?likeableId=62557a734e092f5d789a5f98&type=Post&reaction=unlike HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:49.42.67.117 - - [01/Jun/2022:06:21:46 +0000] "POST /comment/create HTTP/1.1" - - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:171.67.70.80 - - [01/Jun/2022:07:38:57 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:162.142.125.9 - - [01/Jun/2022:10:29:03 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.9 - - [01/Jun/2022:10:29:04 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.9 - - [01/Jun/2022:10:29:04 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:162.142.125.9 - - [01/Jun/2022:10:29:12 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.9 - - [01/Jun/2022:10:29:12 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:119.203.14.6 - admin [01/Jun/2022:10:44:38 +0000] "POST /editBlackAndWhiteList HTTP/1.1" - - "-" "Mozila/5.0"
::ffff:167.94.138.47 - - [01/Jun/2022:11:25:34 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.138.47 - - [01/Jun/2022:11:25:35 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.47 - - [01/Jun/2022:11:25:35 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.47 - - [01/Jun/2022:11:25:39 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.47 - - [01/Jun/2022:11:25:40 +0000] "PRI * HTTP/2.0" - - "-" "-"
- - - [01/Jun/2022:14:05:15 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET / HTTP/1.1" 302 35 "-" "l9tcpid/v1.1.0"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /.git/config HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /.DS_Store HTTP/1.1" 404 148 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 214 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /info.php HTTP/1.1" 404 147 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 302 35 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /server-status HTTP/1.1" 404 152 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:16 +0000] "GET /config.json HTTP/1.1" 404 150 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:17 +0000] "GET /telescope/requests HTTP/1.1" 404 157 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:17 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 214 "-" "Go-http-client/1.1"
::ffff:104.237.155.168 - - [01/Jun/2022:14:05:17 +0000] "GET /login.action HTTP/1.1" 404 151 "-" "Go-http-client/1.1"
::ffff:64.62.197.62 - - [01/Jun/2022:14:29:30 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:107.150.99.254 - - [01/Jun/2022:15:06:45 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.29.0"
::ffff:47.31.242.134 - - [01/Jun/2022:15:22:31 +0000] "GET / HTTP/1.1" 200 244349 "-" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:47.31.242.134 - - [01/Jun/2022:15:22:35 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:47.31.242.134 - - [01/Jun/2022:15:22:38 +0000] "GET /users/findFriends HTTP/1.1" 304 - "http://namastebuddies.in:8000/" "Mozilla/5.0 (Linux; Android 8.1.0; CPH1901) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36"
::ffff:92.118.160.9 - - [01/Jun/2022:15:34:27 +0000] "GET / HTTP/1.1" 302 35 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:92.118.160.9 - - [01/Jun/2022:15:34:27 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:5000/" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:185.220.100.244 - - [01/Jun/2022:16:29:49 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:209.141.57.178 - - [01/Jun/2022:16:29:50 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:167.94.146.59 - - [01/Jun/2022:18:41:25 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:167.94.146.59 - - [01/Jun/2022:18:41:26 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.146.59 - - [01/Jun/2022:18:41:26 +0000] "PRI * HTTP/2.0" - - "-" "-"
