::ffff:189.171.0.62 - admin [13/Jun/2022:01:28:43 +0000] "POST /editBlackAndWhiteList HTTP/1.1" - - "-" "Mozila/5.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 157 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "HEAD http://www.google.com HTTP/1.0" 302 35 "-" "-"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 157 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /pools/default/buckets HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /menu.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /menu.cgi HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "POST / HTTP/1.1" 404 140 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /Portal0000.htm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /nmaplowercheck1655116655 HTTP/1.1" 404 163 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET /Portal0000.htm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:35 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /docs/cplugError.html/ HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /pools HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /main.jsp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /main.jsp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "HEAD / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /HNAP1 HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /__Additional HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /__Additional HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET http://www.wikipedia.org HTTP/1.0" 302 35 "-" "-"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /.git/HEAD HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /main.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "HEAD / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /main.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /HNAP1 HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "HEAD http://www.wikipedia.org HTTP/1.0" 302 35 "-" "-"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "POST /sdk HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "POST /sdk HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "HEAD /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /aU6p HTTP/1.1" 404 143 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /pools/default/buckets HTTP/1.1" 404 160 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /default.php HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "HEAD /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET / HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /default.php HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /tomcatwar.jsp HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /pools HTTP/1.1" 404 144 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:36 +0000] "GET http://www.computerhistory.org HTTP/1.0" 302 35 "-" "-"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /tomcatwar.jsp?pwd=j&cmd=id HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /tomcatwar.jsp HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /readme.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 302 35 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /readme.txt HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /tomcatwar.jsp?pwd=j&cmd=id HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /ghksjdghdfksanitycheckqwerjlhfgjksdghlid HTTP/1.1" 404 179 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /menu.jsa HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /ghksjdghdfksanitycheckqwerjlhfgjksdghlid HTTP/1.1" 404 179 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /menu.jsa HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:37 +0000] "GET /admin.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /start.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /start.shtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.pl HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:38 +0000] "GET /admin.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /admin.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /admin.jsa HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /admin.jsa HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /inicio.shtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /inicio.shtml HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /admin.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:39 +0000] "GET /admin.html HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /localstart.pl HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /localstart.pl HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /indice.asp HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /indice.asp HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /default.aspx HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /default.aspx HTTP/1.1" 404 151 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:40 +0000] "GET /default.shtml HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /default.shtml HTTP/1.1" 404 152 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /default.jsp HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /default.jsp HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /home.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /home.php HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:41 +0000] "GET /index.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /index.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /start.jhtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /start.jhtml HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /start.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /start.php HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:42 +0000] "GET /default.jsa HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /default.jsa HTTP/1.1" 404 150 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /home.asp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /home.asp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /index.cfm HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /index.cfm HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /localstart.cfm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /localstart.cfm HTTP/1.1" 404 153 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:43 +0000] "GET /start.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /start.jsp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /admin.asp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /admin.asp HTTP/1.1" 404 148 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /default.pl HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /default.pl HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:44 +0000] "GET /base.shtml HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /base.shtml HTTP/1.1" 404 149 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /menu.cfm HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /localstart.shtml HTTP/1.1" 404 155 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /menu.cfm HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /localstart.shtml HTTP/1.1" 404 155 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /home.jsp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /home.jsp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:45 +0000] "GET /base.jsp HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:46 +0000] "GET /base.jsa HTTP/1.1" 404 147 "-" "curl/7.54.0"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:46 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:172.105.87.91 - - [13/Jun/2022:10:37:46 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:165.22.106.147 - - [13/Jun/2022:11:33:30 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:185.92.145.57 - admin [13/Jun/2022:11:37:18 +0000] "POST /editBlackAndWhiteList HTTP/1.1" 404 161 "-" "Abyssal"
::ffff:202.102.144.122 - - [13/Jun/2022:13:41:20 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 Chrome"
::ffff:60.5.66.67 - admin [13/Jun/2022:15:11:15 +0000] "POST /editBlackAndWhiteList HTTP/1.1" - - "-" "Mozila/5.0"
::ffff:111.224.6.251 - - [13/Jun/2022:15:14:56 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 302 70 "-" "Mozilla/4.01707650 Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
::ffff:111.224.6.251 - - [13/Jun/2022:15:14:56 +0000] "HEAD http://110.242.68.4/users/signin HTTP/1.1" 200 2817 "-" "Mozilla/4.01707650 Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
- - - [13/Jun/2022:15:14:58 +0000] "GET http://www.rfa.org/english/ HTTP/1.1" - - "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
- - - [13/Jun/2022:15:14:58 +0000] "GET http://www.epochtimes.com/ HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
- - - [13/Jun/2022:15:14:58 +0000] "GET http://www.wujieliulan.com/ HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
::ffff:113.200.71.100 - - [13/Jun/2022:15:14:59 +0000] "GET http://www.soso.com/ HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
::ffff:113.200.71.100 - - [13/Jun/2022:15:14:59 +0000] "GET http://www.soso.com/users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
- - - [13/Jun/2022:15:14:59 +0000] "GET http://dongtaiwang.com/ HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
- - - [13/Jun/2022:15:15:01 +0000] "GET http://www.minghui.org/ HTTP/1.1" 302 70 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
